begin work at,end work at,dist,left,working time,warehouse,Salary per day,Operational cost per day,Total_cost_per_day
928800,937381,26806,0,143,warehouse7,71.5,2.14,73.64
1015200,1023376,23977,0,136,warehouse7,68.0,1.92,69.92
1101600,1109945,24559,0,139,warehouse7,69.5,1.96,71.46
1188000,1196930,27513,0,148,warehouse7,74.0,2.2,76.2
1274400,1281900,24282,0,125,warehouse7,62.5,1.94,64.44
1360800,1367592,20444,0,113,warehouse7,60.0,1.64,61.64
1447200,1454617,21295,0,123,warehouse7,61.5,1.7,63.2
1533600,1541330,21638,0,128,warehouse7,64.0,1.73,65.73
1620000,1628549,26692,0,142,warehouse7,71.0,2.14,73.14
1706400,1714465,25459,0,134,warehouse7,67.0,2.04,69.04
64800,72816,21833,0,133,warehouse8,66.5,1.75,68.25
151200,161199,29661,0,166,warehouse8,83.0,2.37,85.37
237600,247079,28380,0,157,warehouse8,78.5,2.27,80.77
324000,329978,17824,0,99,warehouse8,60.0,1.43,61.43
410400,418294,25056,0,131,warehouse8,65.5,2.0,67.5
496800,504759,26078,0,132,warehouse8,66.0,2.09,68.09
583200,591066,26356,0,131,warehouse8,65.5,2.11,67.61
669600,679715,30327,0,168,warehouse8,84.0,2.43,86.43
756000,764625,26677,0,143,warehouse8,71.5,2.13,73.63
842400,851736,29031,0,155,warehouse8,77.5,2.32,79.82
928800,936949,25006,0,135,warehouse8,67.5,2.0,69.5
1015200,1023376,23977,0,136,warehouse8,68.0,1.92,69.92
1101600,1110053,25139,0,140,warehouse8,70.0,2.01,72.01
1188000,1196476,25713,0,141,warehouse8,70.5,2.06,72.56
1274400,1281490,22482,0,118,warehouse8,60.0,1.8,61.8
1360800,1367448,19844,0,110,warehouse8,60.0,1.59,61.59
1447200,1454937,21569,0,128,warehouse8,64.0,1.73,65.73
1533600,1541313,21638,0,128,warehouse8,64.0,1.73,65.73
1620000,1628758,27592,0,145,warehouse8,72.5,2.21,74.71
1706400,1714572,25797,0,136,warehouse8,68.0,2.06,70.06
64800,73644,24055,0,147,warehouse9,73.5,1.92,75.42
151200,160916,29925,0,161,warehouse9,80.5,2.39,82.89
237600,246803,27800,0,153,warehouse9,76.5,2.22,78.72
324000,330729,20954,0,112,warehouse9,60.0,1.68,61.68
410400,418435,25644,0,133,warehouse9,66.5,2.05,68.55
496800,504791,26214,0,133,warehouse9,66.5,2.1,68.6
583200,591146,26356,0,132,warehouse9,66.0,2.11,68.11
669600,679715,30327,0,168,warehouse9,84.0,2.43,86.43
756000,764693,26961,0,144,warehouse9,72.0,2.16,74.16
842400,851520,28131,0,152,warehouse9,76.0,2.25,78.25
928800,937195,25906,0,139,warehouse9,69.5,2.07,71.57
1015200,1024349,27535,0,152,warehouse9,76.0,2.2,78.2
1101600,1110296,25459,0,144,warehouse9,72.0,2.04,74.04
1188000,1196399,25713,0,139,warehouse9,69.5,2.06,71.56
1274400,1281497,22482,0,118,warehouse9,60.0,1.8,61.8
1360800,1367961,21980,0,119,warehouse9,60.0,1.76,61.76
1447200,1455278,23995,0,134,warehouse9,67.0,1.92,68.92
1533600,1541523,22550,0,132,warehouse9,66.0,1.8,67.8
1620000,1628779,27604,0,146,warehouse9,73.0,2.21,75.21
1706400,1714588,26021,0,136,warehouse9,68.0,2.08,70.08
64800,72928,21071,0,135,warehouse10,67.5,1.69,69.19
151200,161131,29171,0,165,warehouse10,82.5,2.33,84.83
237600,246926,28418,0,155,warehouse10,77.5,2.27,79.77
324000,329899,17498,0,98,warehouse10,60.0,1.4,61.4
410400,418294,25056,0,131,warehouse10,65.5,2.0,67.5
496800,504666,25690,0,131,warehouse10,65.5,2.06,67.56
583200,591125,26356,0,132,warehouse10,66.0,2.11,68.11
669600,679860,30929,0,171,warehouse10,85.5,2.47,87.97
756000,764615,26637,0,143,warehouse10,71.5,2.13,73.63
842400,851729,29003,0,155,warehouse10,77.5,2.32,79.82
928800,937151,25582,0,139,warehouse10,69.5,2.05,71.55
1015200,1023409,23977,0,136,warehouse10,68.0,1.92,69.92
1101600,1110081,24559,0,141,warehouse10,70.5,1.96,72.46
1188000,1196474,26025,0,141,warehouse10,70.5,2.08,72.58
1274400,1281684,23382,0,121,warehouse10,60.5,1.87,62.37
1360800,1367592,20444,0,113,warehouse10,60.0,1.64,61.64
1447200,1454630,21295,0,123,warehouse10,61.5,1.7,63.2
1533600,1541417,22108,0,130,warehouse10,65.0,1.77,66.77
1620000,1628594,26880,0,143,warehouse10,71.5,2.15,73.65
1706400,1714767,26795,0,139,warehouse10,69.5,2.14,71.64
64800,74033,28606,0,153,warehouse11,76.5,2.29,78.79
151200,159590,25103,2,139,warehouse11,69.5,2.01,71.51
237600,246774,27506,0,152,warehouse11,76.0,2.2,78.2
324000,332900,27056,0,148,warehouse11,74.0,2.16,76.16
410400,421741,32829,0,189,warehouse11,94.5,2.63,97.13
496800,506792,31710,0,166,warehouse11,83.0,2.54,85.54
583200,592797,29261,0,159,warehouse11,79.5,2.34,81.84
669600,675823,19159,0,103,warehouse11,60.0,1.53,61.53
756000,764935,28272,0,148,warehouse11,74.0,2.26,76.26
842400,849895,24256,0,124,warehouse11,62.0,1.94,63.94
928800,937124,24531,0,138,warehouse11,69.0,1.96,70.96
1015200,1023626,26934,0,140,warehouse11,70.0,2.15,72.15
1101600,1109720,24316,0,135,warehouse11,67.5,1.95,69.45
1188000,1197169,26666,0,152,warehouse11,76.0,2.13,78.13
1274400,1285256,29989,0,180,warehouse11,90.0,2.4,92.4
1360800,1368643,23782,0,130,warehouse11,65.0,1.9,66.9
1447200,1457494,31408,0,171,warehouse11,85.5,2.51,88.01
1533600,1541700,23868,0,135,warehouse11,67.5,1.91,69.41
1620000,1627107,21466,0,118,warehouse11,60.0,1.72,61.72
1706400,1714317,24158,0,131,warehouse11,65.5,1.93,67.43
64800,73971,28606,0,152,warehouse12,76.0,2.29,78.29
151200,159512,24737,2,138,warehouse12,69.0,1.98,70.98
237600,246756,27434,0,152,warehouse12,76.0,2.19,78.19
324000,332900,27056,0,148,warehouse12,74.0,2.16,76.16
410400,421761,32829,0,189,warehouse12,94.5,2.63,97.13
496800,506823,31710,0,167,warehouse12,83.5,2.54,86.04
583200,592797,29261,0,159,warehouse12,79.5,2.34,81.84
669600,675796,19049,0,103,warehouse12,60.0,1.52,61.52
756000,764935,28272,0,148,warehouse12,74.0,2.26,76.26
842400,849706,23470,0,121,warehouse12,60.5,1.88,62.38
928800,937385,25608,0,143,warehouse12,71.5,2.05,73.55
1015200,1023420,26198,0,137,warehouse12,68.5,2.1,70.6
1101600,1109727,24343,0,135,warehouse12,67.5,1.95,69.45
1188000,1197021,26398,0,150,warehouse12,75.0,2.11,77.11
1274400,1285117,30569,0,178,warehouse12,89.0,2.45,91.45
1360800,1368859,24682,0,134,warehouse12,67.0,1.97,68.97
1447200,1457165,31408,0,166,warehouse12,83.0,2.51,85.51
1533600,1541705,23868,0,135,warehouse12,67.5,1.91,69.41
1620000,1627014,21080,0,116,warehouse12,60.0,1.69,61.69
1706400,1714170,23842,0,129,warehouse12,64.5,1.91,66.41
64800,74275,29170,0,157,warehouse13,78.5,2.33,80.83
151200,159829,25633,2,143,warehouse13,71.5,2.05,73.55
237600,246756,27434,0,152,warehouse13,76.0,2.19,78.19
324000,333044,27658,0,150,warehouse13,75.0,2.21,77.21
410400,421713,32829,0,188,warehouse13,94.0,2.63,96.63
496800,507010,32610,0,170,warehouse13,85.0,2.61,87.61
583200,593013,30161,0,163,warehouse13,81.5,2.41,83.91
669600,675835,19211,0,103,warehouse13,60.0,1.54,61.54
756000,764935,28272,0,148,warehouse13,74.0,2.26,76.26
842400,849706,23470,0,121,warehouse13,60.5,1.88,62.38
928800,937119,24676,0,138,warehouse13,69.0,1.97,70.97
1015200,1023420,26198,0,137,warehouse13,68.5,2.1,70.6
1101600,1109707,24316,0,135,warehouse13,67.5,1.95,69.45
1188000,1197105,26398,0,151,warehouse13,75.5,2.11,77.61
1274400,1285294,30481,0,181,warehouse13,90.5,2.44,92.94
1360800,1368813,24490,0,133,warehouse13,66.5,1.96,68.46
1447200,1457469,31464,0,171,warehouse13,85.5,2.52,88.02
1533600,1541903,24432,0,138,warehouse13,69.0,1.95,70.95
1620000,1627509,23144,0,125,warehouse13,62.5,1.85,64.35
1706400,1714655,25508,0,137,warehouse13,68.5,2.04,70.54
64800,74174,28250,0,156,warehouse14,78.0,2.26,80.26
151200,159418,23590,0,136,warehouse14,68.0,1.89,69.89
237600,247915,31438,0,171,warehouse14,85.5,2.52,88.02
324000,331849,24328,0,130,warehouse14,65.0,1.95,66.95
410400,417877,23242,0,124,warehouse14,62.0,1.86,63.86
496800,504330,25147,0,125,warehouse14,62.5,2.01,64.51
583200,590438,22516,0,120,warehouse14,60.0,1.8,61.8
669600,679594,31271,0,166,warehouse14,83.0,2.5,85.5
756000,763223,20734,0,120,warehouse14,60.0,1.66,61.66
842400,850484,24575,0,134,warehouse14,67.0,1.97,68.97
928800,935902,21076,0,118,warehouse14,60.0,1.69,61.69
1015200,1023687,25065,0,141,warehouse14,70.5,2.01,72.51
1101600,1110351,24214,0,145,warehouse14,72.5,1.94,74.44
1188000,1195431,21285,0,123,warehouse14,61.5,1.7,63.2
1274400,1281659,23067,0,120,warehouse14,60.0,1.85,61.85
1360800,1368886,26691,0,134,warehouse14,67.0,2.14,69.14
1447200,1454310,21256,0,118,warehouse14,60.0,1.7,61.7
1533600,1542820,27676,0,153,warehouse14,76.5,2.21,78.71
1620000,1628334,23948,0,138,warehouse14,69.0,1.92,70.92
1706400,1714883,26899,0,141,warehouse14,70.5,2.15,72.65
1792800,1802309,29441,0,158,warehouse14,79.0,2.36,81.36
1879200,1886823,22874,0,127,warehouse14,63.5,1.83,65.33
1965600,1972955,23088,0,122,warehouse14,61.0,1.85,62.85
2052000,2060616,25783,0,143,warehouse14,71.5,2.06,73.56
2138400,2148789,30151,0,173,warehouse14,86.5,2.41,88.91
2224800,2231551,20563,0,112,warehouse14,60.0,1.65,61.65
2311200,2318597,21954,0,123,warehouse14,61.5,1.76,63.26
2397600,2408170,30858,0,176,warehouse14,88.0,2.47,90.47
2484000,2492136,25902,0,135,warehouse14,67.5,2.07,69.57
2570400,2577403,20082,0,116,warehouse14,60.0,1.61,61.61
64800,74229,28250,0,157,warehouse15,78.5,2.26,80.76
151200,159340,23264,0,135,warehouse15,67.5,1.86,69.36
237600,247699,31438,0,168,warehouse15,84.0,2.52,86.52
324000,331798,24328,0,129,warehouse15,64.5,1.95,66.45
410400,418155,24403,0,129,warehouse15,64.5,1.95,66.45
496800,504946,27711,0,135,warehouse15,67.5,2.22,69.72
583200,590226,21616,0,117,warehouse15,60.0,1.73,61.73
669600,679769,31271,0,169,warehouse15,84.5,2.5,87.0
756000,763211,20752,0,120,warehouse15,60.0,1.66,61.66
842400,850852,26234,0,140,warehouse15,70.0,2.1,72.1
928800,937079,25980,0,137,warehouse15,68.5,2.08,70.58
1015200,1023626,24709,0,140,warehouse15,70.0,1.98,71.98
1101600,1110351,24214,0,145,warehouse15,72.5,1.94,74.44
1188000,1196200,24380,0,136,warehouse15,68.0,1.95,69.95
1274400,1281888,24020,0,124,warehouse15,62.0,1.92,63.92
1360800,1368670,25791,0,131,warehouse15,65.5,2.06,67.56
1447200,1453965,20724,0,112,warehouse15,60.0,1.66,61.66
1533600,1542604,26776,0,150,warehouse15,75.0,2.14,77.14
1620000,1627990,22658,0,133,warehouse15,66.5,1.81,68.31
1706400,1714883,26901,0,141,warehouse15,70.5,2.15,72.65
1792800,1802487,30007,0,161,warehouse15,80.5,2.4,82.9
1879200,1886995,22874,0,129,warehouse15,64.5,1.83,66.33
1965600,1972955,23088,0,122,warehouse15,61.0,1.85,62.85
2052000,2060616,25783,0,143,warehouse15,71.5,2.06,73.56
2138400,2148871,29837,0,174,warehouse15,87.0,2.39,89.39
2224800,2231807,21631,0,116,warehouse15,60.0,1.73,61.73
2311200,2318876,23118,0,127,warehouse15,63.5,1.85,65.35
2397600,2408344,32200,0,179,warehouse15,89.5,2.58,92.08
2484000,2492219,26246,0,136,warehouse15,68.0,2.1,70.1
2570400,2578135,23130,0,128,warehouse15,64.0,1.85,65.85
